words,frequency
love,17329
beautiful,13464
thank,9604
necklace,8792
great,6365
much,5955
earrings,5888
perfect,5765
absolutely,5599
quality,5324
shipping,4594
well,4407
fast,4396
really,4245
seller,4228
made,4102
piece,4003
très,3999
pendant,3987
one,3683
super,3653
time,3556
would,3503
arrived,3392
happy,3383
shop,3350
like,3256
wear,3249
definitely,3237
ring,3236
gorgeous,3133
recommend,3046
little,3033
gift,2948
lovely,2919
amazing,2909
nice,2850
even,2815
cute,2798
exactly,2748
purchase,2714
quickly,2575
got,2557
came,2557
thanks,2530
looks,2487
also,2467
pretty,2461
bought,2358
order,2328
service,2308
get,2297
received,2261
chain,2243
good,2221
merci,2142
look,2133
size,2106
shipped,2078
work,2072
loved,2039
item,2039
jewelry,2019
buy,1941
unique,1893
ordered,1893
day,1799
compliments,1792
expected,1757
highly,1745
wait,1738
beautifully,1709
looking,1709
delivery,1688
quick,1668
wanted,1622
packaging,1574
customer,1570
many,1532
ear,1507
stunning,1481
wonderful,1427
back,1400
excellent,1388
boucles,1320
packaged,1320
picture,1311
design,1304
new,1267
every,1234
gold,1229
person,1220
way,1208
rapide,1197
took,1186
pleased,1167
delicate,1164
could,1163
product,1160
everything,1160
make,1156
wearing,1148
small,1147
worth,1142
dainty,1138
purchased,1125
communication,1120
first,1109
loves,1094
photo,1091
better,1069
another,1068
wedding,1067
silver,1062
right,1038
plus,1018
bracelet,1010
pieces,1003
adore,1000
perfectly,989
friend,987
put,980
pair,942
recommande,938
box,929
always,927
detail,921
bit,908
helpful,904
sure,897
long,887
still,884
easy,875
favorite,874
buying,858
oreilles,851
color,851
best,848
special,845
awesome,838
ordering,834
light,831
craftsmanship,828
high,827
stone,826
enough,824
birthday,823
something,821
daughter,820
beaucoup,815
pictured,815
days,805
fit,802
simple,800
feel,800
since,799
earring,798
bien,796
necklaces,788
sent,780
lot,779
envoi,772
price,767
different,759
two,759
know,744
going,737
items,736
adorable,731
described,724
kind,721
length,719
package,717
etsy,713
see,707
already,705
give,704
comfortable,695
thought,694
und,693
future,693
charm,683
questions,674
qualité,669
magnifique,660
top,660
take,658
never,646
nicely,645
ever,642
pictures,635
want,633
go,629
custom,629
find,629
second,621
weight,617
fantastic,616
christmas,616
extremely,611
